IUCR_Codes,Primary_Type,Secondary_Type,Felony_Class,Maximum,Minimum,Mean_Sentence,Severity
5112,,,,0.6,1,0.8,0.016
2230,,,,0.8,1,0.9,0.018
1590,,,,15,30,22.5,0.45
1549,,,,2,5,3.5,0.07
4210,,,,3,7,5,0.1
2070,,,,4,40,22,0.44
2095,,,,4,4,4,0.08
2210,,,,1,2,1.5,0.03
1507,,,,1,3,2,0.04
3750,,,,0.08,0.5,0.29,0.0058
2016,,,,2,5,3.5,0.07
1840,,,,2,4,3,0.06
5073,,,,1,1,1,0.02
2015,,,,10,15,12.5,0.25
1375,,,,1,1,1,0.02
1030,,,,4,15,9.5,0.19
1170,,,,1,3,2,0.04
1240,,,,1,3,2,0.04
1370,,,,3,3,3,0.06
1513,,,,1,3,2,0.04
1185,,,,1,1,1,0.02
5009,,,,0.08,0.5,0.29,0.0058
4220,,,,1,4,2.5,0.05
2010,,,,15,30,22.5,0.45
1480,,,,1,2,1.5,0.03
142A,,,,1,3,2,0.04
2080,,,,4,15,9.5,0.19
461,,,,2,5,3.5,0.07
5121,,,,0.5,1,0.75,0.015
1535,,,,0,1,0.5,0.01
1651,,,,1,2,1.5,0.03
925,,,,1,2,1.5,0.03
927,,,,1,2,1.5,0.03
1900,,,,5,5,5,0.1
3100,,,,0.25,0.5,0.375,0.0075
4860,,,,1,1,1,0.02
2050,,,,10,30,20,0.4
1479,,,,0.5,1,0.75,0.015
551,,,,15,30,22.5,0.45
475,,,,1,1,1,0.02
1035,,,,1,3,2,0.04
1478,,,,0.5,1,0.75,0.015
1260,,,,1,2,1.5,0.03
1564,,,,10,20,15,0.3
1850,,,,5,10,7.5,0.15
264,,,,30,70,50,1
4800,,,,1,3,2,0.04
2040,,,,15,30,22.5,0.45
830,,,,0.5,1,0.75,0.015
033B,,,,1,3,2,0.04
1450,,,,0.5,1,0.75,0.015
450,,,,4,15,9.5,0.19
1245,,,,1,3,2,0.04
1205,,,,1,1,1,0.02
2032,,,,15,20,17.5,0.35
2110,,,,5,15,10,0.2
1055,,,,30,60,45,0.9
1791,,,,15,25,20,0.4
1537,,,,15,20,17.5,0.35
501H,,,,1,2,1.5,0.03
1241,,,,2,3,2.5,0.05
5003,,,,1,1,1,0.02
3740,,,,2,3,2.5,0.05
041B,,,,5,35,20,0.4
1725,,,,15,30,22.5,0.45
1135,,,,1,1,1,0.02
5132,,,,0.1,0.5,0.3,0.006
584,,,,1,5,3,0.06
1680,,,,1,3,2,0.04
271,,,,30,60,45,0.9
273,,,,30,60,45,0.9
937,,,,2,2,2,0.04
1566,,,,3,7,5,0.1
2895,,,,2,3,2.5,0.05
500E,,,,0.1,0.5,0.3,0.006
5094,,,,0.5,0.5,0.5,0.01
3000,,,,0.5,1,0.75,0.015
142,,,,30,60,45,0.9
2160,,,,6,40,23,0.46
585,,,,3,5,4,0.08
274,,,,15,30,22.5,0.45
556,,,,3,6,4.5,0.09
4240,,,,3,25,14,0.28
2060,,,,1,1,1,0.02
1520,,,,1,3,2,0.04
1230,,,,1,3,2,0.04
1265,,,,1,2,1.5,0.03
2240,,,,0.5,1,0.75,0.015
1515,,,,2,3,2.5,0.05
3720,,,,0.5,1,0.75,0.015
2033,,,,4,15,9.5,0.19
3920,,,,0.5,1,0.75,0.015
272,,,,15,30,22.5,0.45
1481,,,,1,1,1,0.02
3610,,,,1,2,1.5,0.03
1010,,,,3,7,5,0.1
1715,,,,1,3,2,0.04
3975,,,,3,7,5,0.1
581,,,,1,3,2,0.04
1580,,,,5,10,7.5,0.15
1025,ARSON,AGGRAVATED,2,4,15,9.5,0.19
1020,ARSON,BY FIRE,2,15,30,22.5,0.45
1090,ARSON,ATTEMPT ARSON,2,3,7,5,0.1
530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,X,6,70,38,0.76
051B,ASSAULT,AGGRAVATED: OTHER FIREARM,X,6,70,38,0.76
