IUCR_Codes,Primary_Type,Secondary_Type,Felony_Class,Severity
1025,ARSON,AGGRAVATED,2,0.4
1090,ARSON,ATTEMPT ARSON,2,0.066666667
1020,ARSON,BY FIRE,2,0.077777778
554,ASSAULT,AGG PO HANDS NO/MIN INJURY,X,0.044444444
555,ASSAULT,AGG PRO.EMP: HANDGUN,X,0.077777778
558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,X,0.077777778
557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,X,0.077777778
550,ASSAULT,AGGRAVATED PO: HANDGUN,X,0.077777778
553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,X,0.077777778
552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,X,0.077777778
051A,ASSAULT,AGGRAVATED: HANDGUN,X,0.077777778
530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,X,0.1
051B,ASSAULT,AGGRAVATED: OTHER FIREARM,X,0.1
520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,X,0.1
545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,X,0.012
560,ASSAULT,SIMPLE,X,0.001777778
454,BATTERY,AGG PO HANDS NO/MIN INJURY,3,0.044444444
462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,3,0.066666667
483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,3,0.077777778
482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST,3,0.077777778
440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,3,0.044444444
479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,3,0.066666667
488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,3,0.111111111
498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,3,0.111111111
496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,3,0.088888889
497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,3,0.088888889
485,BATTERY,AGGRAVATED OF A CHILD,3,0.111111111
495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,3,0.088888889
452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR,3,0.088888889
453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,3,0.088888889
041A,BATTERY,AGGRAVATED: HANDGUN,3,0.1
430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,3,0.1
420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,3,0.1
486,BATTERY,DOMESTIC BATTERY SIMPLE,3,0.055555556
484,BATTERY,PRO EMP HANDS NO/MIN INJURY,3,0.044444444
460,BATTERY,SIMPLE,3,0.044444444
630,BURGLARY,ATTEMPT FORCIBLE ENTRY,2,0.044444444
610,BURGLARY,FORCIBLE ENTRY,2,0.044444444
650,BURGLARY,HOME INVASION,2,0.044444444
620,BURGLARY,UNLAWFUL ENTRY,2,0.044444444
261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,1,0.211111111
263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,1,0.222222222
265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,1,0.211111111
275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,1,0.211111111
291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,1,0.088888889
281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,1,0.088888889
266,CRIM SEXUAL ASSAULT,PREDATORY,1,0.4
1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,2,0.044444444
1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,2,0.044444444
1310,CRIMINAL DAMAGE,TO PROPERTY,2,0.044444444
1340,CRIMINAL DAMAGE,TO STATE SUP PROP,2,0.022222222
1320,CRIMINAL DAMAGE,TO VEHICLE,2,0.022222222
1335,CRIMINAL TRESPASS,TO AIRPORT,4,0.211111111
1330,CRIMINAL TRESPASS,TO LAND,4,0.022222222
1365,CRIMINAL TRESPASS,TO RESIDENCE,4,0.022222222
1350,CRIMINAL TRESPASS,TO STATE SUP LAND,4,0.033333333
1360,CRIMINAL TRESPASS,TO VEHICLE,4,0.022222222
1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,4,0.033333333
1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,4,0.033333333
1110,DECEPTIVE PRACTICE,BOGUS CHECK,4,0.033333333
1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,4,0.022222222
1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,4,0.022222222
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,4,0.033333333
1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,4,0.033333333
1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,4,0.033333333
1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,4,0.044444444
1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,4,0.011111111
1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,4,0.022222222
1120,DECEPTIVE PRACTICE,FORGERY,4,0.022222222
1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,4,0.044444444
1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,4,0.044444444
1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,4,0.044444444
1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,4,0.044444444
1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",4,0.044444444
1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,4,0.044444444
1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,4,0.044444444
1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,4,0.055555556
1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,4,0.044444444
1670,GAMBLING,GAME/AMUSEMENT DEVICE,4,0.033333333
1661,GAMBLING,GAME/DICE,4,0.022222222
110,HOMICIDE,FIRST DEGREE MURDER,2,1
1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,X,0.4
3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,4,0.111111111
3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,4,0.111111111
3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,4,0.111111111
3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,4,0.066666667
3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,4,0.055555556
3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,4,0.066666667
3970,INTIMIDATION,EXTORTION,3,0.111111111
3960,INTIMIDATION,INTIMIDATION,3,0.111111111
1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,2,0.111111111
4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,2,0.111111111
4230,KIDNAPPING,UNLAWFUL RESTRAINT,2,0.088888889
2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,4,0.088888889
2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,4,0.1
920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,4,0.022222222
910,MOTOR VEHICLE THEFT,AUTOMOBILE,4,0.022222222
